service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
6001M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
6002X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
6003J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
6004V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
6005S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
6006D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
6007L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
6008M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
6009X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
6010J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
6011V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
6012S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
6013D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
6014L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
6084D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
6085L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
6086M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
6087X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
6088J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
6089V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
6090S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
6091D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
6092L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
6093M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
6094X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
6095J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
6096V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
6097S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
6098D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
6099L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
6101M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
6102X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
6103J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
6104V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
6105S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
6106D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
6107L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
6108M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
6109X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
6110J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
6111V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
6112S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
6113D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
6114L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
6184D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
6185L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
6186M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
6187X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
6188J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
6189V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
6190S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
6191D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
6192L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
6193M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
6194X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
6195J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
6196V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
6197S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
6198D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
6199L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
6201M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
6202X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
6203J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
6204V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
6205S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
6206D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
6207L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
6208M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
6209X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
6210J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
6211V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
6212S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
6213D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
6214L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
6284D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
6285L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
